model, npl, buffer_size, problem_size, power_limit, energy_used_RAPL, energy_used_yoko, working_time
0, 20, 160000, 2000, 150, 110144738, 0, 0.578827052
0, 20, 160000, 2000, 150, 117915836, 0, 0.524960912
0, 20, 160000, 2000, 150, 116689215, 0, 0.501584103
0, 20, 160000, 2000, 150, 116805732, 0, 0.497347599
0, 20, 160000, 2000, 150, 117973697, 0, 0.517150958
0, 20, 160000, 2000, 150, 113651686, 0, 0.504748943
0, 20, 160000, 2000, 150, 111755695, 0, 0.472390477
0, 20, 160000, 2000, 150, 108885341, 0, 0.472256600
0, 20, 160000, 2000, 150, 110895163, 0, 0.475336261
0, 20, 160000, 2000, 150, 113301346, 0, 0.473647368
0, 20, 160000, 3000, 150, 614926403, 0, 2.592349761
0, 20, 160000, 3000, 150, 570522527, 0, 2.400140282
0, 20, 160000, 3000, 150, 578703414, 0, 2.395012252
0, 20, 160000, 3000, 150, 568851876, 0, 2.362746860
0, 20, 160000, 3000, 150, 564027731, 0, 2.332239948
0, 20, 160000, 3000, 150, 552524647, 0, 2.287511056
0, 20, 160000, 3000, 150, 551649649, 0, 2.274738023
0, 20, 160000, 3000, 150, 547904237, 0, 2.258956906
0, 20, 160000, 3000, 150, 545635993, 0, 2.247576755
0, 20, 160000, 3000, 150, 552876941, 0, 2.284607458
0, 20, 160000, 4000, 150, 1775491853, 0, 7.346020420
0, 20, 160000, 4000, 150, 1644129581, 0, 6.756114654
0, 20, 160000, 4000, 150, 1722229051, 0, 7.122332162
0, 20, 160000, 4000, 150, 1724647624, 0, 7.156359956
0, 20, 160000, 4000, 150, 1649898853, 0, 6.804264955
0, 20, 160000, 4000, 150, 1631737340, 0, 6.697040066
0, 20, 160000, 4000, 150, 1718888788, 0, 7.109725933
0, 20, 160000, 4000, 150, 1651694441, 0, 6.751219169
0, 20, 160000, 4000, 150, 1739179569, 0, 7.141910076
0, 20, 160000, 4000, 150, 1643056767, 0, 6.744101859
1, 20, 160000, 2000, 150, 104380531, 0, 0.448371979
1, 20, 160000, 2000, 150, 100658189, 0, 0.414240062
1, 20, 160000, 2000, 150, 104573707, 0, 0.426148429
1, 20, 160000, 2000, 150, 105351536, 0, 0.429277708
1, 20, 160000, 2000, 150, 103121990, 0, 0.423796684
1, 20, 160000, 2000, 150, 103200969, 0, 0.416612842
1, 20, 160000, 2000, 150, 101185166, 0, 0.410042618
1, 20, 160000, 2000, 150, 103240214, 0, 0.424429710
1, 20, 160000, 2000, 150, 101272446, 0, 0.416418769
1, 20, 160000, 2000, 150, 104003274, 0, 0.426147923
1, 20, 160000, 3000, 150, 529145556, 0, 2.137596346
1, 20, 160000, 3000, 150, 492389364, 0, 1.984469964
