model, npl, buffer_size, problem_size, power_limit, energy_used_RAPL, energy_used_yoko, working_time
0, 20, 160000, 1000000, 150, 95991880, 0, 1.227854279
0, 20, 160000, 1000000, 150, 22737552, 0, 0.245259841
0, 20, 160000, 1000000, 150, 15484641, 0, 0.087732629
0, 20, 160000, 1000000, 150, 14651940, 0, 0.081986789
0, 20, 160000, 1000000, 150, 15018333, 0, 0.086060366
0, 20, 160000, 1000000, 150, 16417499, 0, 0.091928484
0, 20, 160000, 1000000, 150, 15836812, 0, 0.088779173
0, 20, 160000, 1000000, 150, 14962424, 0, 0.085355775
0, 20, 160000, 1000000, 150, 15821492, 0, 0.089196545
0, 20, 160000, 1000000, 150, 15855306, 0, 0.090701415
0, 20, 160000, 10000000, 150, 146452200, 0, 0.815776966
0, 20, 160000, 10000000, 150, 141868106, 0, 0.804336938
0, 20, 160000, 10000000, 150, 153427952, 0, 0.852454354
0, 20, 160000, 10000000, 150, 150827434, 0, 0.858566159
0, 20, 160000, 10000000, 150, 150539348, 0, 0.813061957
0, 20, 160000, 10000000, 150, 148971665, 0, 0.795503945
0, 20, 160000, 10000000, 150, 146061882, 0, 0.766623834
0, 20, 160000, 10000000, 150, 151413553, 0, 0.781168975
0, 20, 160000, 10000000, 150, 153962436, 0, 0.799160123
0, 20, 160000, 10000000, 150, 150778545, 0, 0.768335640
0, 20, 160000, 100000000, 150, 1668189944, 0, 8.328458368
0, 20, 160000, 100000000, 150, 1838892326, 0, 9.187204179
0, 20, 160000, 100000000, 150, 1758203019, 0, 8.773565796
0, 20, 160000, 100000000, 150, 1863953359, 0, 9.277431528
0, 20, 160000, 100000000, 150, 1746766463, 0, 8.728359271
0, 20, 160000, 100000000, 150, 1813199582, 0, 9.019509079
0, 20, 160000, 100000000, 150, 1733121967, 0, 8.630715357
0, 20, 160000, 100000000, 150, 1843230694, 0, 9.121766201
0, 20, 160000, 100000000, 150, 1929547430, 0, 9.564522502
0, 20, 160000, 100000000, 150, 1837043455, 0, 9.101301682
1, 20, 160000, 1000000, 150, 17300798, 0, 0.095840883
1, 20, 160000, 1000000, 150, 13563381, 0, 0.072239965
1, 20, 160000, 1000000, 150, 17196977, 0, 0.090754594
1, 20, 160000, 1000000, 150, 14034021, 0, 0.075084117
1, 20, 160000, 1000000, 150, 15091514, 0, 0.079268977
1, 20, 160000, 1000000, 150, 15950948, 0, 0.083248446
1, 20, 160000, 1000000, 150, 14691796, 0, 0.076290408
1, 20, 160000, 1000000, 150, 17586685, 0, 0.091725400
1, 20, 160000, 1000000, 150, 16130574, 0, 0.085091761
1, 20, 160000, 1000000, 150, 17556779, 0, 0.093485364
1, 20, 160000, 10000000, 150, 170783010, 0, 0.876323099
1, 20, 160000, 10000000, 150, 168075131, 0, 0.863374958
1, 20, 160000, 10000000, 150, 170579276, 0, 0.874293130
1, 20, 160000, 10000000, 150, 172530809, 0, 0.873565185
1, 20, 160000, 10000000, 150, 137431350, 0, 0.705508746
1, 20, 160000, 10000000, 150, 172472093, 0, 0.869480634
1, 20, 160000, 10000000, 150, 176968541, 0, 0.887355730
1, 20, 160000, 10000000, 150, 162981272, 0, 0.825530380
1, 20, 160000, 10000000, 150, 177137729, 0, 0.907051428
1, 20, 160000, 10000000, 150, 150636638, 0, 0.766866204
1, 20, 160000, 100000000, 150, 1639679091, 0, 8.177360140
1, 20, 160000, 100000000, 150, 1339967272, 0, 6.708657235
1, 20, 160000, 100000000, 150, 1448662490, 0, 7.273629647
1, 20, 160000, 100000000, 150, 1406492798, 0, 7.101095083
1, 20, 160000, 100000000, 150, 1630450598, 0, 8.184139116
1, 20, 160000, 100000000, 150, 1345411901, 0, 6.803088510
1, 20, 160000, 100000000, 150, 1432731866, 0, 7.181178951
1, 20, 160000, 100000000, 150, 1614552508, 0, 8.089287788
1, 20, 160000, 100000000, 150, 1438590495, 0, 7.216843148
1, 20, 160000, 100000000, 150, 1522567758, 0, 7.686723823
2, 20, 160000, 1000000, 150, 8426493, 0, 0.050627574
2, 20, 160000, 1000000, 150, 10435826, 0, 0.058327697
2, 20, 160000, 1000000, 150, 8218668, 0, 0.045902657
2, 20, 160000, 1000000, 150, 7489422, 0, 0.042349060
2, 20, 160000, 1000000, 150, 8918435, 0, 0.050464857
2, 20, 160000, 1000000, 150, 8546366, 0, 0.048064422
2, 20, 160000, 1000000, 150, 11729706, 0, 0.066041427
2, 20, 160000, 1000000, 150, 8333169, 0, 0.047188533
2, 20, 160000, 1000000, 150, 10103185, 0, 0.055895670
2, 20, 160000, 1000000, 150, 10362339, 0, 0.055966774
